"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm_log","key","mode","danceability_.","valence_.","energy_._boxcox","acousticness_.","liveness_.","speechiness_.","streams"
106608279,1,"Mittwoch",9,"January",9.34434665182392,53,154,123,410,2,81,4.56434819146784,"F","Major",75,57,373.161576722668,9,13,6,21.0277748453307
106608279,1,"Mittwoch",9,"January",8.96571778898485,42,94,111,151,4,82,4.55387689160054,"D","Major",60,48,467.444905978621,1e-04,12,4,20.4826986671491
28663783,1,"Freitag",1e-04,"May",6.36990098282823,28,16,159,15,6,100,4.8283137373023,"F","Minor",79,96,521.774185913264,27,11,6,18.9891343686184
38516138,2,"Freitag",1e-04,"February",6.53958595561767,25,10,107,6,3,62,4.969813299576,"A","Minor",56,84,348.697835759604,23,10,6,19.686205950397
46458787,2,"Dienstag",5,"October",10.0897181258268,78,372,117,843,4,69,4.49980967033027,"D","Major",76,91,235.035593728849,54,7,5,21.755772706422
52684965.5,2,"Freitag",1,"August",9.43204288549399,80,291,184,537,45,727,4.85203026391962,"G","Minor",56,38,636.226137849481,4,35,4,20.8271150632816
11416269,3,"Freitag",6,"July",9.5020393657859,64,77,58,247,1,311,4.36944785246702,"F#","Major",56,58,278.710418212454,37,11,10,20.769291508186
34704528.6666667,3,"Freitag",1e-04,"June",7.0184017990692,80,82,145,65,16,1133,4.969813299576,"Keine Angabe","Major",77,75,293.809893426738,52,23,25,17.9922980066633
61563099,1,"Freitag",3,"November",8.12326131912175,19,65,48,138,1,102,4.80402104473326,"F","Major",67,49,340.666666666667,10,10,3,20.1620501142978
45362598,1,"Freitag",1,"May",9.03967066792268,76,241,127,458,37,332,4.9416424226093,"Keine Angabe","Major",71,82,485.333333333333,11,6,5,20.8054773479878
104681090,1,"Donnerstag",7,"November",7.81722278550817,59,68,21,24,1e-04,259,4.89783979995091,"C#","Minor",59,51,249.318221765503,9,15,7,21.2228224437808
61784530,2,"Mittwoch",7,"September",10.2933651373026,79,281,137,2445,1,140,5.2257466737132,"G","Major",68,49,301.458399416165,16,13,28,21.6654308022415
85061033.5,2,"Freitag",1e-04,"February",8.13388088794921,47,87,86,74,1,16,4.20469261939097,"C#","Minor",53,50,256.563882754578,23,44,7,20.0669231991033
33278073.3333333,3,"Freitag",1e-04,"June",7.16857989726403,38,44,64,57,10,110,4.66343909411207,"A#","Minor",72,17,340.666666666667,7,10,5,18.4953600171683
39740472.6666667,3,"Donnerstag",1e-04,"April",8.36100710822691,66,145,111,213,11,810,4.85203026391962,"G","Major",60,23,578.056448859614,1e-04,12,3,18.9958361133138
53300243,1,"Freitag",1e-04,"February",7.03262426102801,39,14,71,23,10,176,4.67282883446191,"F#","Minor",92,55,389.774679049235,18,15,7,18.8483769726229
15808715,1,"Donnerstag",1e-04,"June",7.722677516468,59,1e-04,1e-04,109,17,1e-04,4.86753445045558,"G","Minor",67,96,549.675449152616,12,8,4,17.8738209512706
27633116,1,"Montag",11,"October",9.81852861330894,83,250,122,3394,19,2,4.81218435537242,"E","Minor",45,13,263.878225553917,70,9,4,21.3186202749917
104681090,1,"Freitag",4,"November",10.6896468197605,69,672,199,3421,20,2,5.14166355650266,"C#","Major",50,38,476.361168533288,1e-04,9,7,22.0326508255753
34186855,1,"Freitag",1e-04,"February",7.88193748927207,42,67,79,57,1,615,4.91998092582813,"G","Minor",64,88,406.626839296785,51,17,5,19.3625744446486
32545476,1,"Donnerstag",1,"May",8.82526595351575,45,139,111,161,15,210,4.8283137373023,"G","Minor",84,85,373.161576722668,58,22,4,20.9172551911474
53300243,1,"Freitag",1e-04,"July",6.26339826259162,41,34,115,39,6,216,4.85203026391962,"Keine Angabe","Minor",86,42,406.626839296785,59,9,19,16.5888069047787
106608279,1,"Freitag",3,"July",8.97752520096524,29,106,112,142,4,215,4.86753445045558,"Keine Angabe","Minor",61,53,293.809893426738,55,27,4,20.5150349828113
15486511.5,2,"Donnerstag",1e-04,"May",6.59441345974978,15,27,17,73,4,167,4.86753445045558,"B","Major",86,59,626.402707485827,50,9,5,18.5335420343331
25842288.5,2,"Freitag",1e-04,"February",8.55333223803211,41,154,84,102,14,37,4.89034912822175,"F","Major",70,86,485.333333333333,25,25,5,18.8675348793873
35657764.3333333,3,"Freitag",1,"June",8.04141290939305,39,38,1e-04,4,1e-04,1e-04,4.61512051684126,"D","Major",88,72,301.458399416165,62,9,3,20.3953646992871
20957354.5,2,"Freitag",1e-04,"March",8.30721262662831,50,82,121,182,12,171,4.55387689160054,"F","Minor",77,53,340.666666666667,74,17,14,19.6958360591543
42364024,2,"Donnerstag",1,"October",8.44182288439146,38,63,79,89,11,16,4.58496747867057,"C#","Minor",90,40,301.458399416165,1e-04,10,29,20.3288485413964
219,1,"Freitag",24,"January",10.3532246969204,43,196,2,4053,5,1e-04,5.15329159449778,"B","Major",43,28,356.791023137316,1e-04,23,3,21.2858568636092
106608279,1,"Freitag",1,"October",8.24748200428569,23,37,55,32,1e-04,272,4.49980967033027,"G#","Major",64,10,324.792325459155,7,48,7,19.8183176247965
11752721,1,"Freitag",1,"December",8.16223106548118,56,105,64,169,8,529,5.28826703069454,"A#","Minor",59,71,180.794072888753,55,10,7,19.7376249143973
58433542,1,"Freitag",1e-04,"July",6.01615715969835,36,36,32,31,1,26,4.9416424226093,"C#","Major",56,48,415.141515605453,1e-04,35,4,16.5088142281453
106608279,1,"Freitag",1e-04,"July",4.99721227376411,24,32,93,8,2,5,4.40671924726425,"G#","Major",51,22,256.563882754578,1,15,3,17.493788463729
42099833,2,"Freitag",1e-04,"June",6.91174730025167,35,42,80,58,3,169,4.86753445045558,"C#","Minor",77,84,559.082880502025,17,43,5,17.8094103174051
21820497,1,"Sonntag",3,"June",10.0231798754541,63,386,144,707,28,2,4.39444915467244,"B","Major",76,53,256.563882754578,44,9,9,21.6624820646868
23659368,1,"Freitag",1,"July",8.4142741374084,36,70,58,109,18,230,4.54329478227,"C#","Minor",51,14,301.458399416165,65,25,3,20.4370953241791
34778147,1,"Montag",11,"May",9.70582898273194,61,166,87,1056,1,2,4.82028156560504,"A#","Major",61,41,485.333333333333,5,10,3,21.54865610531
39670700,2,"Mittwoch",1,"July",9.04852707581358,45,94,65,164,14,176,4.85203026391962,"D","Major",62,55,458.584898382381,1,23,4,21.0282216749053
66260015,1,"Dienstag",15,"January",10.431111294578,62,233,1e-04,4095,9,1e-04,4.92725368515721,"F","Minor",49,42,324.792325459155,9,11,3,21.1888282366412
24696662,1,"Sonntag",1,"July",8.08517874807454,23,94,85,68,1,84,4.88280192258637,"E","Major",58,27,221.03583670215,50,12,3,20.2697842361828
39206969,2,"Donnerstag",1,"September",9.05672288331058,42,216,108,331,26,154,4.87519732320115,"D","Major",71,24,214.143844145899,1,27,9,20.9308293594737
33026625.5,2,"Dienstag",1,"December",8.19367666595524,38,47,74,80,14,194,5.12396397940326,"F#","Minor",78,58,415.141515605453,5,10,7,20.1883103625432
24832321,1,"Donnerstag",1e-04,"June",5.91350300563827,20,12,16,18,4,93,4.58496747867057,"C#","Major",68,40,467.444905978621,33,30,6,17.5964591955232
21991652,1,"Mittwoch",48,"January",10.3457023746743,55,300,65,1003,1,1e-04,4.62497281328427,"C#","Major",48,50,415.141515605453,43,15,4,21.4209500461089
22725609.5,2,"Freitag",1,"April",7.93379687481541,30,60,96,71,1e-04,115,4.61512051684126,"A#","Major",34,32,286.227041873622,78,20,3,20.2140669692949
8877374,2,"Freitag",1e-04,"June",5.58724865840025,9,9,6,25,2,72,4.86753445045558,"F","Major",63,36,131.50157628316,76,35,9,17.4970907370691
106608279,1,"Freitag",1e-04,"July",4.93447393313069,17,16,72,5,1e-04,8,4.95582705760126,"D","Major",50,20,340.666666666667,1,12,3,17.4849250172778
54999955,2,"Freitag",2,"July",9.74390548271166,36,492,99,798,31,1e-04,5.13579843705026,"C#","Major",59,48,441.035092945455,4,10,5,21.7035989376449
45898309.5,2,"Freitag",1e-04,"March",7.65633716643018,44,80,75,110,11,323,4.82028156560504,"G#","Minor",78,70,373.161576722668,3,11,4,19.2255179375719
32564842,1,"Donnerstag",5,"November",9.78897416574737,53,440,125,1800,1e-04,2,4.70048036579242,"C#","Major",50,45,174.352062489831,75,11,3,21.7835674937316
56100628,2,"Freitag",1,"May",9.09043007530363,43,104,120,141,26,49,4.52178857704904,"C#","Minor",91,43,398.171089263681,9,9,8,21.0884350746068
10771067,1,"Montag",8,"June",8.70946507906336,53,150,148,2703,22,1451,4.75359019110636,"D","Major",82,40,356.791023137316,39,25,7,18.9243858750735
149917,2,"Mittwoch",11,"June",6.46302945692067,50,1,52,8,1e-04,1170,4.85981240436167,"A","Major",63,84,494.361054218179,70,9,7,17.8768981395044
20581644,1,"Freitag",1e-04,"March",7.27655640271871,12,57,97,35,1e-04,429,4.58496747867057,"G#","Major",71,67,309.172001029927,19,12,3,18.8721312611825
15154113,1,"Freitag",1e-04,"March",6.68959926917897,25,29,76,24,1e-04,162,5.14749447681345,"C#","Minor",74,76,441.035092945455,6,10,9,18.3707759378003
53113133.5,2,"Freitag",1e-04,"March",7.58171964012531,38,28,89,29,5,82,5.01063529409626,"D","Major",68,14,441.035092945455,4,10,4,19.338191723022
106608279,1,"Mittwoch",6,"November",8.49187538343195,23,19,45,1e-04,1e-04,10,4.91265488573605,"A","Minor",62,19,256.563882754578,11,6,4,20.3449768885294
37734115,1,"Freitag",3,"June",3.43398720448515,39,2,107,8,1e-04,1e-04,4.47733681447821,"C#","Minor",53,34,214.143844145899,9,83,4,17.463879323264
37337289,2,"Freitag",1e-04,"May",7.68478394352278,23,69,145,69,2,478,4.96284463025991,"D#","Major",83,69,193.908654367517,15,10,33,18.7892408289596
57511894,1,"Freitag",1e-04,"March",7.60090245954208,46,49,105,63,1,1e-04,4.60517018598809,"F#","Minor",49,17,137.375194938991,71,11,3,18.6641565077979
65682546,1,"Freitag",1,"December",7.95120715647297,25,58,156,42,1,236,4.96284463025991,"F","Major",56,39,271.260611193508,14,11,13,19.8061916932854
57511894,1,"Samstag",12,"January",9.92000046091034,52,89,143,1632,3,200,4.71849887129509,"C#","Minor",56,24,356.791023137316,7,12,3,20.7067680009668
30422141,1,"Freitag",1e-04,"June",6.51323011091231,47,20,106,25,4,78,4.53259949315326,"G","Major",62,57,301.458399416165,3,38,3,18.5902745369781
106608279,1,"Sonntag",11,"January",9.04168500594604,23,160,110,163,1e-04,5,5.32787616878958,"G","Major",43,50,271.260611193508,50,15,10,20.5986445556922
