"artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","key","mode","danceability_.","valence_.","energy_.","acousticness_.","liveness_.","speechiness_.","streams"
"2","Freitag",-4.20755340376944,"July",6.31535800152233,4.99043258677874,6.96861297165568,14.4030664701477,4.63259159663224,"B","Major",80,89,83,7.37380818787574,2.07944154167984,1.13415348204518,18.7669739041855
"1","Donnerstag",-4.20755340376944,"March",7.29573507274928,3.87120101090789,7.31425168498385,10.8896240521091,5.0086904106665,"C#","Major",71,61,74,2.94476606120695,2.30258509299405,1.13415348204518,18.7112308446764
"1","Freitag",-4.20755340376944,"June",7.24208235925696,4.72738781871234,9.69284745424764,13.1737311916677,5.70016220211393,"F","Major",51,32,53,5.26460875399433,3.43398720448515,1.38603106310711,18.757181365885
"1","Freitag",1.59753955386447,"August",8.96928740011841,4.60517018598809,10.5411283552111,13.1737311916677,6.20656596692762,"A","Major",55,58,72,4.02374658819718,2.39789527279837,1.85404998856108,20.5011727549461
"1","Donnerstag",-4.20755340376944,"May",8.04974629095219,3.91202300542815,9.26063309000393,11.1222039303216,5.62974617752123,"A","Minor",65,23,80,4.68441189007034,2.39789527279837,1.38603106310711,19.5300230000721
"2","Donnerstag",-4.20755340376944,"June",7.68982866873648,4.51085950651685,8.43462673607566,13.3158381435265,5.64761915030063,"C#","Major",92,66,58,5.61785797783917,2.07944154167984,2.04859295821858,19.0288484853744
"2","Donnerstag",-4.20755340376944,"March",8.03592636989179,3.91202300542815,6.26779822042479,13.5238355424464,4.56621934766155,"F","Minor",67,83,76,9.26079022524674,2.07944154167984,0.935923022250452,20.4030331784745
"1","Freitag",-4.20755340376944,"July",6.57088296233958,3.76120011569356,5.42175934801256,9.48099204425403,4.05115826483646,"F","Major",67,26,71,8.09792149943452,2.39789527279837,1.13415348204518,17.8785257403971
"1","Montag",-4.20755340376944,"May",6.99942246750796,4.4188406077966,8.05143297459921,13.2451399483307,4.72733357534689,"C#","Minor",85,22,62,4.25480019260307,3.3322045101752,1.60906047342738,18.3716723634755
"2","Freitag",-4.20755340376944,"March",7.99057688174392,3.78418963391826,7.38031949905346,10.3218190455462,5.20387861280808,"D","Minor",81,56,48,5.94943611308857,2.07944154167984,2.16565139309123,20.1320144975854
"2","Montag",-4.20755340376944,"April",7.96415571884094,3.68887945411394,6.82246111633194,13.1257219361724,4.90182215342446,"F#","Minor",57,56,72,6.26256279129322,3.29583686600433,1.2765537909333,20.0413976843286
"1","Freitag",-4.20755340376944,"July",6.04500531403601,4.00733318523247,6.51446763308446,13.053089460853,3.55882106693847,"F","Minor",78,52,82,5.44417880786609,2.70805020110221,1.47403391565585,17.8803430585191
"1","Donnerstag",-4.20755340376944,"January",9.41009246383302,4.74493212836325,15.117463285423,13.3625839046217,9.37383636455101,"Keine Angabe","Major",71,65,68,2.61918127769805,1.09861228866811,1.47403391565585,20.9985126986566
"1","Freitag",-4.20755340376944,"April",8.16848641712668,4.58496747867057,9.07763711090713,11.83074868664,6.82701720574108,"D","Minor",51,32,43,12.1410170242931,2.19722457733622,0.935923022250452,19.7754089500956
"1","Donnerstag",0,"March",10.0679421075017,4.86753445045558,16.8257258155103,12.9550620327959,9.66079521163902,"F#","Minor",52,66,73,7.74546267495199,3.43398720448515,1.38603106310711,21.6448180998577
"1","Donnerstag",0,"December",9.00072983494456,4.34380542185368,12.5746113519889,12.0034135350522,6.62197357705247,"G#","Major",64,43,73,2.2591348467897,2.77258872223978,1.13415348204518,20.8743492351857
"1","Freitag",-4.20755340376944,"February",7.98684490116138,4.34380542185368,9.56670981612124,13.2923499712945,5.45999895650769,"B","Minor",78,76,59,8.7545307189726,3.52636052461616,0.935923022250452,20.023689404971
"1","Donnerstag",-4.20755340376944,"July",6.7719355558396,4.64439089914137,9.07763711090713,13.6368487612457,5.76784566835971,"Keine Angabe","Major",44,14,9,13.0184557391536,2.30258509299405,0.935923022250452,17.2347732089166
"2","Freitag",-4.20755340376944,"March",7.86710550031674,3.68887945411394,6.96861297165568,9.93690568511657,4.90182215342446,"B","Major",86,67,66,4.68441189007034,2.484906649788,1.88241572783979,19.6303042549214
"1","Freitag",-4.20755340376944,"March",6.39024066706535,4.21950770517611,2.88688661024538,10.0939683610206,3.68273083326153,"G","Major",63,36,73,-2.43720283921226,3.58351893845611,1.13415348204518,19.7109314358303
"3","Donnerstag",-4.20755340376944,"June",5.80513496891649,3.25809653802148,3.51045471219615,12.031753770876,2.58925411794167,"F","Minor",65,87,74,6.10813523100386,3.73766961828337,1.13415348204518,18.2750171037676
"1","Freitag",-4.20755340376944,"July",6.24610676548156,3.63758615972639,8.74134592429329,10.6478146878443,4.53198460282268,"F#","Major",69,82,76,2.61918127769805,1.79175946922805,0.935923022250452,17.7693518230757
"1","Dienstag",2.92446596230557,"January",9.46179923427044,4.70048036579242,5.31519311320155,9.85672049777661,8.90132712335201,"Keine Angabe","Minor",48,44,42,4.25480019260307,2.39789527279837,0.935923022250452,20.9833399625852
"2","Mittwoch",-4.20755340376944,"May",7.1800698743028,3.68887945411394,4.46520877893817,11.7130395930454,4.14213562373095,"F","Minor",85,81,67,6.70299842836727,2.484906649788,1.2765537909333,19.1170588045937
"3","Freitag",-4.20755340376944,"June",7.57301725605255,4.46590811865458,8.7907318102046,12.548482722026,5.62974617752123,"C#","Major",85,83,68,2.94476606120695,3.58351893845611,1.97636489487699,18.5636077678206
