"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
61784530,2,"Mittwoch",7,"September",29536,79,281,137,2445,1,140,186,"G","Major",68,49,59,13,28,21.6654308022415
85061033.5,2,"Freitag",1e-04,"February",3408,47,87,86,74,1,16,67,"C#","Minor",53,50,53,44,7,20.0669231991033
33278073.3333333,3,"Freitag",1e-04,"June",1298,38,44,64,57,10,110,106,"A#","Minor",72,17,64,10,5,18.4953600171683
39740472.6666667,3,"Donnerstag",1e-04,"April",4277,66,145,111,213,11,810,128,"G","Major",60,23,91,12,3,18.9958361133138
53300243,1,"Freitag",1e-04,"February",1133,39,14,71,23,10,176,107,"F#","Minor",92,55,70,15,7,18.8483769726229
15808715,1,"Donnerstag",1e-04,"June",2259,59,1e-04,1e-04,109,17,1e-04,130,"G","Minor",67,96,88,8,4,17.8738209512706
27633116,1,"Montag",11,"October",18371,83,250,122,3394,19,2,123,"E","Minor",45,13,54,9,4,21.3186202749917
104681090,1,"Freitag",4,"November",43899,69,672,199,3421,20,2,171,"C#","Major",50,38,80,9,7,22.0326508255753
34186855,1,"Freitag",1e-04,"February",2649,42,67,79,57,1,615,137,"G","Minor",64,88,72,17,5,19.3625744446486
32545476,1,"Donnerstag",1,"May",6804,45,139,111,161,15,210,125,"G","Minor",84,85,68,22,4,20.9172551911474
53300243,1,"Freitag",1e-04,"July",525,41,34,115,39,6,216,128,"Keine Angabe","Minor",86,42,72,9,19,16.5888069047787
106608279,1,"Freitag",3,"July",7923,29,106,112,142,4,215,130,"Keine Angabe","Minor",61,53,58,27,4,20.5150349828113
15486511.5,2,"Donnerstag",1e-04,"May",731,15,27,17,73,4,167,130,"B","Major",86,59,96,9,5,18.5335420343331
25842288.5,2,"Freitag",1e-04,"February",5184,41,154,84,102,14,37,133,"F","Major",70,86,81,25,5,18.8675348793873
35657764.3333333,3,"Freitag",1,"June",3107,39,38,1e-04,4,1e-04,1e-04,101,"D","Major",88,72,59,9,3,20.3953646992871
20957354.5,2,"Freitag",1e-04,"March",4053,50,82,121,182,12,171,95,"F","Minor",77,53,64,17,14,19.6958360591543
42364024,2,"Donnerstag",1,"October",4637,38,63,79,89,11,16,98,"C#","Minor",90,40,59,10,29,20.3288485413964
219,1,"Freitag",24,"January",31358,43,196,2,4053,5,1e-04,173,"B","Major",43,28,66,23,3,21.2858568636092
106608279,1,"Freitag",1,"October",3818,23,37,55,32,1e-04,272,90,"G#","Major",64,10,62,48,7,19.8183176247965
11752721,1,"Freitag",1,"December",3506,56,105,64,169,8,529,198,"A#","Minor",59,71,42,10,7,19.7376249143973
58433542,1,"Freitag",1e-04,"July",410,36,36,32,31,1,26,140,"C#","Major",56,48,73,35,4,16.5088142281453
