"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
2868474,2,"Freitag",1e-04,"June",185,3,5,6,4,1,33,98,"A#","Minor",73,45,62,13,13,17.5887906486322
5219000,1,"Freitag",1e-04,"March",839,18,20,110,20,1e-04,69,124,"A","Minor",84,64,39,11,4,19.2661065187947
43677056.6666667,3,"Freitag",1e-04,"June",259,1e-04,5,17,5,1e-04,1e-04,135,"A","Minor",77,28,55,22,15,17.4298465412626
74886858,1,"Donnerstag",1e-04,"March",2915,30,116,69,107,3,675,107,"D","Major",78,39,53,11,6,19.0914627941077
24076113,2,"Mittwoch",1,"October",5129,25,116,84,114,18,348,96,"D","Major",54,25,74,9,11,20.092786090006
54627555,2,"Mittwoch",1,"November",3794,34,47,77,53,10,8,123,"G#","Major",71,58,70,32,19,20.1035832067316
67994647,2,"Freitag",1e-04,"May",588,1e-04,23,21,31,1e-04,1e-04,90,"G#","Major",62,7,62,58,6,17.6472508869287
48789938.3333333,3,"Freitag",1,"December",2959,16,41,69,38,1e-04,36,117,"F","Minor",72,45,59,20,21,19.8095625397742
30753092,2,"Dienstag",1e-04,"April",291,8,8,78,4,1,1,133,"A","Minor",78,90,84,7,4,18.6599071736512
44158929,1,"Freitag",1,"December",2321,36,29,65,34,5,3,96,"G#","Minor",74,61,83,35,6,19.6591468838154
24763476.5,2,"Donnerstag",1,"December",536,10,10,72,8,3,14,149,"G#","Major",66,85,60,14,13,19.4788239306874
82060086.5,2,"Freitag",1e-04,"May",359,2,1,1e-04,9,1e-04,1e-04,110,"F#","Minor",66,32,40,11,3,17.9156804201325
20361406,1,"Mittwoch",1,"November",4096,6,118,48,143,1e-04,240,105,"F#","Major",95,62,52,5,16,19.629864294728
9078147,1,"Montag",1e-04,"May",349,69,8,96,5,1e-04,56,105,"C#","Major",80,69,78,11,14,18.156290576729
25515260.5,2,"Freitag",1e-04,"May",381,5,23,82,6,1e-04,113,134,"B","Major",76,61,58,16,3,17.6455784799601
44158929,1,"Freitag",1,"July",2461,36,47,66,45,5,6,170,"E","Minor",71,59,56,27,12,19.9451628416441
29928400.5,2,"Freitag",1e-04,"June",277,1,1,20,5,1e-04,1,81,"F#","Major",59,26,60,25,13,17.4960111320991
5493428,2,"Mittwoch",1e-04,"March",967,5,7,29,51,1,29,154,"F#","Major",63,75,92,91,5,18.7465084278041
27741481,1,"Mittwoch",1,"June",8186,12,155,72,131,16,29,169,"C#","Major",69,69,51,38,4,20.5280218443718
47047855,1,"Freitag",1,"July",7842,10,215,88,330,26,23,115,"G","Major",78,64,69,7,14,20.2055846708918
22114533.5,2,"Montag",1e-04,"June",215,6,6,14,8,2,4,84,"A","Minor",43,14,74,19,8,17.7664807583738
34647377,2,"Donnerstag",1e-04,"May",1134,22,39,14,48,2,3,93,"G#","Major",79,58,62,11,23,17.8750218759993
37942716,2,"Freitag",1e-04,"April",1305,34,29,26,43,5,44,91,"G","Major",82,47,62,10,15,18.5605299868645
85386598,1,"Freitag",1e-04,"April",2066,6,58,70,43,1e-04,182,142,"A#","Minor",82,54,44,33,7,18.9808554213942
25089609.5,2,"Freitag",1e-04,"May",896,1e-04,34,2,33,1e-04,1,126,"C#","Major",78,20,70,16,4,17.8601231676735
106608279,1,"Freitag",1,"October",3763,8,51,43,38,10,1,97,"A#","Major",73,10,44,16,8,20.0066182666659
16883388.2,5,"Freitag",1e-04,"June",197,1e-04,3,10,3,1e-04,1e-04,101,"F","Major",92,59,51,26,8,17.3047703723967
83335265,1,"Freitag",1,"May",4004,33,34,65,43,6,2,98,"G","Minor",80,23,48,6,5,20.7696531670972
9876794,1,"Freitag",1e-04,"January",984,5,8,57,76,2,49,154,"F#","Major",59,63,89,80,9,18.8489135432592
17693560,1,"Dienstag",1e-04,"February",1240,24,51,29,63,4,54,120,"A","Major",91,63,58,31,22,19.1985042327664
31147087,1,"Montag",1,"October",3995,13,72,27,47,1e-04,1e-04,150,"B","Major",49,4,55,6,3,19.9405983069197
50435385,1,"Donnerstag",7,"January",7681,13,119,66,1145,2,2,174,"A","Major",47,27,78,10,8,20.6612253674781
24426747,1,"Mittwoch",2,"September",4427,4,69,100,154,20,438,202,"A#","Major",34,25,51,18,4,20.4036586831416
71195330,2,"Freitag",1,"November",4657,18,84,84,42,1e-04,23,153,"B","Minor",56,42,52,36,24,20.1675004118411
53769202,1,"Donnerstag",2,"October",10195,20,258,87,657,22,9,142,"F","Major",60,13,37,13,3,21.0640937836744
5677418.5,2,"Donnerstag",1e-04,"May",269,4,7,2,30,1,11,108,"A","Minor",84,55,47,20,64,18.0862332022524
21718266.5,2,"Freitag",1e-04,"June",214,1e-04,3,3,6,1e-04,1e-04,143,"B","Major",83,25,69,23,12,17.0334120283032
12090261,1,"Dienstag",1e-04,"February",845,2,12,57,47,1,33,108,"D","Major",67,55,67,80,5,18.7954008167894
62740669,1,"Samstag",23,"January",20763,27,81,53,3271,1,17,104,"F","Minor",95,78,66,4,6,21.0771495867245
5036217.66666667,3,"Freitag",1,"December",1267,20,41,22,56,4,84,93,"F#","Minor",84,96,79,18,11,19.2593649718641
24896096,1,"Freitag",2,"December",2585,32,3,79,21,1,54,105,"F#","Minor",65,46,53,9,5,19.8460339926325
22199409,1,"Freitag",1,"June",6330,6,109,42,158,3,31,170,"G#","Major",44,27,32,14,5,20.7117151245756
20698096,3,"Donnerstag",1e-04,"May",675,1,9,13,11,1e-04,1,178,"C#","Minor",62,56,66,12,5,17.7443439537034
74886858,1,"Freitag",1e-04,"May",715,1e-04,37,3,27,1e-04,50,176,"F#","Minor",50,44,76,32,5,17.5017236855869
12302398,2,"Montag",1e-04,"May",327,13,14,110,9,1e-04,49,104,"E","Minor",80,38,88,11,5,18.3376807469728
4117543,1,"Freitag",1e-04,"April",244,12,6,84,10,2,9,85,"G","Major",70,83,84,47,30,18.5930382658826
2604231.5,2,"Sonntag",1e-04,"April",385,4,17,7,41,1,29,117,"F#","Minor",77,69,58,26,5,18.1623405052223
53300243,1,"Freitag",1e-04,"February",1020,35,15,26,30,6,1e-04,80,"Keine Angabe","Major",52,57,48,15,39,19.1453247940894
29200222,1,"Freitag",1e-04,"April",1730,3,46,5,51,1e-04,20,98,"F","Major",44,36,41,38,5,18.5840565157559
38069710,2,"Donnerstag",1e-04,"February",2127,33,45,80,53,8,4,178,"C#","Minor",79,58,78,11,25,19.4013520132353
12121364,1,"Freitag",1,"April",3242,9,67,55,48,1e-04,6,148,"A","Major",51,27,33,22,3,19.4963211613718
17251918,1,"Freitag",1e-04,"February",526,10,15,93,30,1e-04,320,120,"D","Major",77,94,66,38,3,18.7548787106669
9099068,1,"Montag",1e-04,"April",366,15,16,102,7,1e-04,55,122,"E","Minor",68,38,88,8,5,18.6287736077594
2517163,1,"Mittwoch",26,"January",472,2,1e-04,1e-04,6,1e-04,1e-04,144,"F","Major",74,75,73,9,4,18.4576153652185
4676266,2,"Samstag",1e-04,"March",432,12,8,14,12,2,33,96,"D","Major",93,47,47,10,36,18.9085677272691
7348862,1,"Montag",1e-04,"April",271,12,16,103,9,1e-04,55,137,"G#","Major",77,35,88,17,9,18.328802543165
19107292,1,"Freitag",1,"April",816,4,21,4,13,1e-04,4,121,"F#","Minor",94,71,61,53,42,19.0651150611051
77193531,2,"Freitag",1e-04,"April",1169,1e-04,36,65,28,1e-04,1e-04,119,"A","Minor",60,10,57,50,3,18.3817348738263
106608279,1,"Freitag",4,"August",1282,6,26,6,19,1e-04,5,96,"D","Major",72,40,47,13,4,19.037166164987
53300243,1,"Donnerstag",1,"April",6587,34,114,104,147,11,20,111,"C#","Major",87,53,52,11,5,20.601203809825
40451639.5,2,"Freitag",1e-04,"April",1444,4,1e-04,1e-04,1e-04,1e-04,1e-04,148,"A","Major",90,74,68,10,19,18.4694037249127
25065858,2,"Freitag",1e-04,"February",356,10,4,64,4,2,37,182,"A","Major",57,80,59,6,5,18.8079162852557
74886858,1,"Donnerstag",2,"September",10147,30,234,71,543,18,2,141,"D","Major",79,82,86,4,9,20.9873087586033
38959500,2,"Freitag",1,"December",265,6,8,84,5,1,4,145,"E","Minor",76,80,81,6,9,18.8841063981804
7108910,2,"Dienstag",1e-04,"April",351,9,16,90,10,1e-04,64,110,"B","Minor",76,26,70,41,6,18.1581548384217
5329101,1,"Dienstag",1,"August",158,4,5,6,1,1,18,134,"G","Major",70,35,41,10,3,18.7363953087961
28095645,1,"Donnerstag",1,"July",7613,33,180,90,422,15,55,130,"G","Major",92,78,62,6,10,20.4778375437617
26150292,1,"Freitag",1,"October",3956,6,142,23,127,3,16,145,"A#","Major",84,88,53,8,7,20.0352553449835
16424664.3333333,3,"Sonntag",1e-04,"February",1638,10,1e-04,1e-04,21,1e-04,1e-04,130,"B","Minor",69,36,90,15,4,19.1483899905004
34135985,1,"Donnerstag",1,"April",924,18,17,80,22,9,38,173,"Keine Angabe","Major",59,69,53,23,3,19.819119302392
37056443,1,"Freitag",1,"November",1985,35,34,26,37,5,1,92,"B","Minor",75,55,76,10,15,19.7587324868472
16779253,1,"Donnerstag",9,"June",6339,13,3,1,36,1,37,105,"F","Minor",56,57,87,10,4,19.9601938836716
9883717,1,"Donnerstag",2,"November",1561,24,18,78,24,1e-04,30,175,"G","Minor",59,15,64,12,10,19.6948712149973
35321416,2,"Donnerstag",1e-04,"April",875,4,17,13,27,1e-04,43,120,"G","Minor",80,33,70,9,4,17.92811577494
16471372.5,2,"Samstag",1,"December",406,5,3,31,2,1,1e-04,139,"D#","Minor",70,77,48,12,5,19.1051675464622
7511935,1,"Freitag",1e-04,"March",340,13,4,71,16,1,9,132,"Keine Angabe","Minor",59,56,82,12,6,18.9421412345204
60387872.5,2,"Donnerstag",5,"March",4188,15,30,70,142,1e-04,27,114,"A#","Major",32,17,74,17,3,20.3743744778784
2774956,2,"Donnerstag",1e-04,"May",105,1e-04,5,9,5,1e-04,1e-04,145,"B","Minor",54,19,48,37,5,17.3565340828392
20280621,1,"Freitag",1,"September",1524,17,53,120,62,1e-04,2,110,"Keine Angabe","Major",82,67,69,18,4,19.9938181744046
52507560.5,2,"Donnerstag",1,"December",2651,30,21,55,32,3,1e-04,94,"G#","Major",89,61,66,36,16,19.5329283148679
104681090,1,"Donnerstag",5,"March",11087,6,151,107,801,1,105,134,"C#","Major",45,17,60,33,4,21.0946910851941
7511935,1,"Freitag",1e-04,"March",373,19,4,72,5,1e-04,5,120,"G","Major",62,32,76,39,4,18.9724219169022
24627608.5,2,"Donnerstag",1e-04,"February",200,4,8,77,2,1,1,123,"G","Minor",70,86,68,11,4,18.3156008333657
10700342.5,2,"Freitag",2,"December",3741,17,156,35,110,19,1e-04,131,"A#","Major",77,84,71,15,4,20.2966352863011
62740669,1,"Dienstag",21,"January",32502,21,247,54,5567,1,51,171,"D","Major",70,6,73,36,26,21.3275779557049
31371422.5,2,"Sonntag",21,"May",7615,14,18,51,1005,1e-04,1e-04,130,"E","Minor",80,64,76,20,6,20.3008582588199
20698096,3,"Donnerstag",1e-04,"March",1208,34,10,41,20,1e-04,1,94,"B","Major",82,53,67,9,8,18.8019192160529
5007871,2,"Freitag",1e-04,"April",209,4,4,45,11,2,24,89,"G","Minor",73,44,57,32,6,18.3779404940895
44158929,1,"Freitag",1e-04,"March",1235,9,20,8,15,1e-04,6,87,"F","Minor",65,71,56,15,20,18.5794521176265
34102401,2,"Mittwoch",1e-04,"March",654,3,11,3,18,1,1,124,"B","Minor",72,79,78,15,30,18.4247685076504
30976,2,"Montag",1e-04,"March",1479,1e-04,23,1e-04,18,1e-04,33,78,"G#","Major",71,80,65,22,32,18.2069719202938
23886756,2,"Dienstag",1,"November",4942,26,190,104,147,18,63,120,"G#","Major",70,70,79,18,10,19.6011569485793
30976,2,"Freitag",1e-04,"March",709,1e-04,8,1,13,1e-04,1e-04,96,"F#","Minor",48,50,80,37,20,17.884080387315
15623147,1,"Samstag",1e-04,"March",660,1e-04,22,7,11,1e-04,78,106,"G","Major",73,22,86,12,4,17.7805622750719
16969302,1,"Freitag",2,"December",489,17,4,11,5,1,2,170,"D","Minor",78,75,46,12,35,19.0727225408828
5105555,2,"Freitag",1e-04,"March",407,1e-04,16,15,5,1e-04,1,134,"B","Minor",67,11,76,30,7,18.1642066373957
55713835,1,"Freitag",1,"May",7461,8,166,42,199,16,58,115,"A#","Major",71,90,73,11,5,20.4271396974963
12428719,1,"Freitag",1,"December",993,4,30,84,88,1,28,130,"F#","Major",74,79,87,30,3,19.40571218539
85061033.5,2,"Freitag",3,"March",9161,5,240,98,468,3,10,118,"Keine Angabe","Major",65,63,79,10,3,20.9236020534767
26410285,1,"Freitag",1,"April",3282,12,67,84,46,16,117,110,"G","Major",59,22,38,12,3,19.9240951943616
14875438,1,"Mittwoch",1e-04,"March",596,1e-04,29,9,12,1e-04,52,100,"A","Major",72,42,66,19,4,18.0212535210735
22906120.5,2,"Dienstag",1e-04,"March",320,6,5,48,2,1,9,142,"G","Minor",70,76,79,11,7,18.5719810882874
107146882,1,"Freitag",1,"October",2612,4,19,29,21,1e-04,1e-04,140,"Keine Angabe","Major",64,18,37,12,7,19.8870712936234
11015521,1,"Freitag",1e-04,"February",2040,4,81,27,66,9,444,116,"G","Major",90,96,73,9,4,18.9249938089694
23984004,1,"Freitag",1,"May",2128,9,37,88,9,1e-04,14,120,"A","Major",73,64,85,61,3,19.7230887655173
35952014,2,"Freitag",1,"April",2598,37,28,57,43,8,85,92,"F","Minor",76,46,79,7,6,19.9830973797127
6276570,1,"Mittwoch",1,"October",542,2,23,2,21,1e-04,1e-04,110,"G#","Minor",81,64,79,31,3,18.866741901057
12305528,1,"Freitag",1,"January",2459,20,20,68,50,1e-04,22,120,"A#","Major",71,57,97,13,11,19.9221852893388
6573255,2,"Dienstag",28,"July",10624,17,21,1e-04,386,1e-04,2,80,"G#","Major",63,40,61,56,6,21.0289907347391
34807667,2,"Sonntag",1,"November",2418,26,52,66,55,1,16,115,"F","Minor",95,43,69,9,31,19.5002873772578
11660528,1,"Freitag",9,"November",7536,7,44,19,135,1e-04,6,76,"A#","Major",58,46,67,13,4,20.6950360681885
27741481,1,"Montag",6,"February",10431,7,71,53,181,1e-04,10,172,"F#","Major",60,77,78,12,6,20.6399338811224
37679071,1,"Freitag",7,"September",15722,16,231,37,1509,1e-04,13,99,"A#","Major",40,45,56,9,5,21.6072239944836
104681090,1,"Mittwoch",8,"May",25744,4,122,94,1992,1e-04,18,136,"Keine Angabe","Minor",36,12,57,14,8,21.3897464978551
17689271,1,"Freitag",4,"May",1640,1e-04,27,27,29,1,1,150,"G#","Minor",90,64,14,11,10,19.3153750099235
1861342,1,"Freitag",1e-04,"April",34,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,92,"A#","Minor",71,41,31,10,5,18.0382042413412
14172391,5,"Donnerstag",1,"December",1845,16,20,8,30,2,1e-04,95,"C#","Major",77,72,87,7,5,19.2252913266169
22771723,3,"Montag",1,"July",3301,30,72,64,64,6,3,102,"B","Minor",83,58,83,10,5,19.9721076146921
65682546,1,"Freitag",1,"December",1911,1e-04,23,71,14,1e-04,9,145,"Keine Angabe","Minor",70,34,55,16,6,19.4226993938683
34807979,1,"Montag",20,"March",20111,5,39,1e-04,7341,1e-04,1e-04,110,"A","Major",50,24,86,64,4,21.0317978094363
52876953,2,"Freitag",1e-04,"February",1529,1e-04,32,18,39,2,1e-04,95,"Keine Angabe","Major",64,30,77,38,6,18.824666371502
25696205.5,2,"Freitag",1e-04,"March",615,2,22,82,8,1e-04,9,94,"B","Minor",68,81,82,9,13,18.5742580308499
23984004,1,"Freitag",1,"December",811,4,11,58,5,1e-04,21,142,"G","Major",61,92,91,26,3,18.8158896566356
21493520.5,2,"Freitag",1,"August",5730,10,108,16,197,3,165,145,"F#","Minor",59,20,74,15,5,20.0245538736638
23984004,1,"Freitag",1e-04,"March",356,4,4,20,1e-04,1e-04,1e-04,121,"F#","Minor",64,67,80,36,3,18.3017970790758
23984004,1,"Freitag",1e-04,"March",604,6,22,101,1e-04,1e-04,66,140,"D#","Minor",66,43,76,12,3,18.6511357413835
48841684.3333333,3,"Donnerstag",1e-04,"February",1190,1e-04,29,3,18,1e-04,19,137,"C#","Minor",84,44,67,11,6,18.470063627667
23984004,1,"Dienstag",1e-04,"January",579,1e-04,11,54,1e-04,1e-04,103,104,"G#","Major",56,72,85,15,3,18.3759254826032
19013260,1,"Freitag",1e-04,"February",1553,2,61,6,48,1e-04,150,92,"F","Major",57,68,76,33,3,18.789376744598
33829480,1,"Donnerstag",1,"December",2301,20,49,23,110,1e-04,8,146,"D","Minor",74,51,45,21,38,19.5128179444102
8399964,1,"Montag",1e-04,"January",134,4,4,6,1e-04,1e-04,23,120,"D","Major",56,20,43,12,4,18.9309265176378
23984004,1,"Dienstag",1e-04,"January",430,1e-04,15,17,1e-04,1e-04,1e-04,144,"D","Major",68,83,81,8,4,18.234609782919
31029742.5,2,"Samstag",1,"November",86,1e-04,11,101,1e-04,1e-04,48,94,"A","Major",59,44,56,6,3,18.7559812658124
5881854,1,"Montag",1,"October",629,14,32,3,9,1e-04,1e-04,94,"G#","Major",73,65,79,11,6,19.5299569503941
40896443.5,2,"Donnerstag",1,"December",1701,15,30,15,34,2,47,113,"G","Minor",79,66,74,11,5,19.2155252222728
16167745.5,2,"Freitag",1e-04,"March",329,1e-04,14,35,1,1e-04,1e-04,148,"E","Major",50,49,76,12,3,17.8911976639315
51522264,1,"Freitag",1e-04,"March",1168,1e-04,45,11,20,1e-04,21,98,"C#","Major",70,29,73,11,26,18.2151239967123
4089505,1,"Dienstag",1,"May",162,6,1,10,1,1e-04,1,140,"B","Major",58,26,38,10,4,18.8703376185165
65682546,1,"Freitag",1,"December",2536,6,59,100,58,13,2,100,"G","Major",36,28,28,18,3,19.4676779882313
45178343,2,"Donnerstag",1e-04,"February",387,11,11,15,14,3,1,140,"F#","Major",86,68,79,11,29,18.3528184117364
22877933,1,"Montag",1,"August",892,17,20,119,12,2,7,100,"E","Minor",59,78,94,29,23,19.7112146031381
56615107,1,"Samstag",12,"January",3909,1e-04,66,26,277,3,734,100,"A","Minor",59,49,65,13,3,19.7356841897469
51269365,2,"Mittwoch",1,"October",3645,15,118,34,150,4,19,132,"Keine Angabe","Minor",87,82,70,21,5,19.7575918721973
23984004,1,"Freitag",1e-04,"March",282,1e-04,6,15,1e-04,1e-04,1e-04,142,"D","Major",49,48,67,26,3,17.8503399077477
37056443,1,"Freitag",1e-04,"January",888,22,11,24,7,1,7,176,"E","Minor",72,96,63,21,7,18.9825759035738
23984004,1,"Freitag",1,"May",968,4,16,53,1,1e-04,61,140,"F#","Major",53,51,70,14,3,19.1298069176944
34807979,1,"Dienstag",23,"October",25065,6,63,1e-04,6808,2,1e-04,105,"D#","Minor",55,40,90,32,6,21.2082600291538
5886851,1,"Donnerstag",1,"December",531,4,20,1,71,2,1e-04,135,"F","Major",81,97,77,35,3,18.7155456926721
473027,1,"Donnerstag",1,"July",242,1e-04,12,2,13,1e-04,4,128,"E","Minor",82,61,59,12,4,18.0650016611222
64736848.5,2,"Freitag",1,"June",5281,14,94,21,80,15,38,101,"F","Major",74,43,69,12,7,20.2278104961876
83335265,1,"Freitag",1,"May",2590,30,20,64,35,6,1e-04,122,"A#","Major",88,43,50,14,5,20.3248249441741
37056443,1,"Donnerstag",1,"September",1769,34,16,19,21,3,4,105,"Keine Angabe","Minor",76,49,56,10,13,19.7081531000218
3241592,2,"Freitag",1,"December",454,4,6,1,21,1e-04,1,83,"C#","Major",53,40,36,11,33,18.3544091485755
28151111.75,4,"Freitag",2,"September",6180,7,122,88,580,21,10,77,"B","Minor",72,59,76,42,28,20.9249660332906
35946623,1,"Freitag",6,"August",3600,11,7,1e-04,203,1e-04,2,140,"B","Minor",75,18,25,11,26,20.7452799680448
7774822,2,"Donnerstag",1,"November",1254,6,26,69,73,2,6,158,"C#","Major",65,72,95,92,5,19.3893867185945
67559504.5,2,"Freitag",4,"June",6398,31,177,109,305,3,5,176,"G","Major",75,43,65,11,32,21.0845195665286
9518417,2,"Donnerstag",1,"October",660,15,19,59,18,5,52,98,"B","Major",73,88,57,5,2,19.2829676143268
36433268,1,"Freitag",1e-04,"January",1283,1e-04,57,4,48,1e-04,1e-04,107,"B","Minor",66,47,40,11,3,18.8096029090163
104681090,1,"Mittwoch",3,"February",8084,6,45,115,218,1,221,109,"F","Minor",66,16,57,12,3,20.3638530628544
17704717,1,"Freitag",1,"July",2332,2,1e-04,1e-04,25,1e-04,1e-04,109,"A#","Minor",84,72,74,34,7,20.4001561842018
23984004,1,"Freitag",1e-04,"March",203,1e-04,5,9,1e-04,1e-04,1e-04,148,"Keine Angabe","Major",53,61,81,36,4,17.3550478278835
8570706,1,"Mittwoch",3,"May",685,14,24,94,9,1e-04,23,158,"F#","Minor",60,52,76,19,5,19.8146889020937
6250395.5,2,"Donnerstag",1,"September",2460,13,53,7,56,3,1,94,"F","Minor",74,64,73,10,6,19.5504168587639
13135899,1,"Mittwoch",1,"October",288,6,11,80,1,1e-04,8,96,"F#","Minor",70,40,51,10,4,19.5824770931403
83335265,1,"Freitag",1,"May",4572,33,74,113,85,9,2,100,"F","Minor",80,29,67,12,3,20.6278578479589
48341078,2,"Freitag",2,"September",6127,13,1e-04,1e-04,1e-04,1e-04,1e-04,105,"A","Major",58,42,68,14,4,20.7833882263123
23984004,1,"Freitag",1e-04,"March",166,1e-04,2,10,1e-04,1e-04,1e-04,125,"Keine Angabe","Major",53,32,66,9,3,17.2975794422161
28095645,1,"Freitag",1e-04,"January",1838,1e-04,105,41,114,1,59,170,"F#","Minor",56,56,63,19,27,18.6437337871708
41796562.6666667,3,"Freitag",1e-04,"January",1890,1e-04,86,1,49,1e-04,9,115,"Keine Angabe","Major",70,84,90,41,6,18.4578576777029
34652194,1,"Freitag",1e-04,"January",2098,16,88,24,101,7,451,122,"G#","Major",64,25,89,15,9,18.7152574189149
9693140,1,"Montag",1,"October",761,12,23,95,11,1e-04,3,105,"A#","Minor",88,82,80,11,8,19.5227926385168
22303562,1,"Mittwoch",1,"November",1225,1e-04,27,1e-04,28,13,1e-04,133,"F","Major",66,74,84,21,4,18.8675348793873
6303360.5,2,"Freitag",1e-04,"January",415,2,15,40,21,1,15,100,"Keine Angabe","Major",79,60,68,26,4,18.844969536296
65682546,1,"Freitag",1,"October",3469,1e-04,71,95,31,1e-04,2,120,"D#","Minor",82,55,45,9,10,19.5509660449459
78415607,1,"Freitag",1,"October",3311,1e-04,129,31,212,1,41,177,"A","Major",25,17,30,13,3,19.5103496932478
26644725,1,"Donnerstag",1,"September",2616,1e-04,113,17,208,1e-04,192,142,"D","Minor",64,31,72,9,5,19.622169527652
10260784,1,"Freitag",7,"November",3006,16,47,60,87,12,124,144,"E","Minor",57,47,84,52,4,19.9903524272664
36005453.5,2,"Freitag",4,"April",4260,1e-04,113,92,259,1e-04,1,120,"B","Minor",65,80,86,19,10,20.7867854003729
4990369,1,"Dienstag",7,"September",482,1e-04,9,1,12,4,3,135,"D","Major",92,73,51,15,6,18.6257716992919
33443544,1,"Mittwoch",1,"February",4013,10,107,44,750,22,2,107,"B","Major",81,82,78,12,4,19.9152993784581
24076113,2,"Freitag",1,"November",1368,1e-04,12,1,11,1e-04,8,108,"F#","Minor",44,38,77,9,20,19.0321229147299
12450560,1,"Donnerstag",8,"January",17852,4,69,76,335,1e-04,2,147,"Keine Angabe","Minor",51,62,79,14,3,20.4872319067829
22864229.6666667,3,"Sonntag",1,"November",889,20,11,78,35,1e-04,21,115,"Keine Angabe","Major",71,34,88,44,4,19.5942732026324
51942160,2,"Donnerstag",1,"April",4796,9,124,66,212,13,1,174,"F","Major",70,57,64,8,32,20.2229872125262
13495728,3,"Donnerstag",1e-04,"January",658,6,33,7,53,2,1e-04,90,"A#","Minor",68,83,71,31,8,18.6110717632149
67568121,1,"Donnerstag",1,"July",3009,2,68,89,65,1e-04,25,141,"E","Minor",41,9,25,14,4,19.6402265993969
56784654,1,"Mittwoch",9,"January",17492,3,136,24,1959,1e-04,30,82,"F","Major",68,50,49,8,4,21.1976268048138
24476511,1,"Freitag",3,"March",6170,7,82,1,231,1e-04,2,92,"F","Major",47,25,43,32,3,20.9870136838222
17661600.3333333,6,"Montag",1,"December",130,4,21,79,2,1e-04,1e-04,116,"G#","Minor",77,65,80,15,4,18.7584879319865
63146867.5,2,"Freitag",6,"June",27705,10,537,122,2726,6,2,124,"A","Minor",79,59,86,8,11,21.3638124959116
11357053,1,"Freitag",1e-04,"January",359,1e-04,12,56,13,1e-04,13,125,"A#","Minor",71,83,89,17,9,18.4943289797292
20280621,1,"Freitag",1,"August",1963,16,57,119,77,1,13,90,"Keine Angabe","Major",80,71,69,27,10,20.1278003764104
50026310.6666667,3,"Mittwoch",1,"April",5491,14,128,84,75,1e-04,35,83,"C#","Major",46,34,64,7,34,20.1373309424587
66869858,1,"Donnerstag",4,"October",27119,1e-04,532,77,1535,3,8,124,"B","Minor",79,68,79,10,8,21.5574932093045
6173543,1,"Freitag",9,"August",1776,14,1,9,3,1e-04,1e-04,140,"G#","Major",58,4,60,8,3,20.2876820071961
10702800.5,2,"Freitag",1,"September",1473,4,27,64,66,1,4,154,"Keine Angabe","Major",64,61,91,72,4,19.2209439493618
32850614,2,"Freitag",2,"July",13315,1e-04,300,47,690,1e-04,2,150,"D#","Minor",74,89,70,5,6,21.3189929831735
20491403,1,"Freitag",3,"January",4057,8,78,21,240,1,52,186,"E","Minor",41,9,61,12,5,20.5864570968236
11421637,1,"Mittwoch",8,"April",3045,6,43,53,134,1,32,166,"G#","Minor",40,23,48,12,3,20.1635761745323
24285296,2,"Donnerstag",1,"September",3006,12,54,32,66,2,1e-04,107,"Keine Angabe","Major",87,20,83,31,9,19.5328006788829
3096480,3,"Freitag",1,"September",852,1e-04,14,1,50,1e-04,1e-04,87,"G","Major",87,52,52,28,24,18.9746056724781
18112297,1,"Freitag",1,"August",2163,15,72,97,58,1e-04,154,82,"G#","Major",40,39,64,7,7,19.467247957471
65682546,1,"Freitag",1,"December",1484,1e-04,22,51,12,1e-04,1e-04,114,"A","Minor",46,60,28,21,4,18.911001573961
22199409,1,"Freitag",1,"November",1703,1e-04,38,45,36,16,1e-04,148,"G#","Major",47,15,52,29,5,19.3224264803697
33829480,1,"Mittwoch",1,"July",4169,44,57,44,183,1,11,140,"F#","Major",91,97,57,40,29,19.9939886704911
11862701,1,"Montag",1,"October",1054,1e-04,9,1e-04,15,1e-04,1,101,"G","Major",90,76,81,33,6,18.9435408064972
13715221,3,"Montag",1,"January",2849,1e-04,39,45,27,1e-04,1,140,"C#","Minor",81,6,84,6,6,18.1784794800741
55495546.3333333,3,"Freitag",1,"December",1602,1e-04,12,22,12,1e-04,2,88,"G","Minor",49,24,66,18,29,19.0911559567933
83335265,1,"Freitag",2,"June",9644,28,120,86,164,4,1e-04,180,"C#","Major",64,44,65,14,12,20.9548492696522
51522264,1,"Freitag",1,"August",4827,1e-04,104,17,76,9,2,133,"D","Major",95,91,89,31,24,19.876234527698
11111382,1,"Montag",38,"September",21811,1e-04,117,1,676,3,1e-04,108,"A#","Minor",63,20,55,6,6,20.7478202224229
7696647,1,"Donnerstag",1,"August",688,1e-04,14,1,17,1e-04,2,75,"B","Minor",80,46,62,11,46,19.1107543910437
23967136.5,2,"Freitag",2,"July",10565,44,238,122,557,17,58,121,"F#","Minor",67,26,64,17,10,20.695390537778
9985090,2,"Mittwoch",1,"September",1612,1e-04,34,54,34,1e-04,2,140,"D","Minor",58,17,62,20,8,19.1788596677459
