id,cl
0,34184537.5
1,44736444.0
2,57679764.0
3,106608279.0
4,83335265.0
5,28993103.5
6,36552427.5
7,37056443.0
8,35118533.0
9,33112259.5
10,58735625.0
11,23173906.0
12,61563099.0
13,25392714.0
14,55713835.0
15,65682546.0
16,17251918.0
17,67568121.0
18,38436853.5
19,7511935.0
20,33124797.666666668
21,106608279.0
22,47776446.0
23,45770087.0
24,59007701.666666664
25,28663783.0
26,25195112.0
27,55346468.5
28,23984004.0
29,66869858.0
30,32145039.0
31,41695601.0
32,70621087.66666667
33,106608279.0
34,57634927.0
35,16838609.0
36,22415163.5
37,106608279.0
38,106608279.0
39,28663783.0
40,38516138.0
41,46458787.0
42,52684965.5
43,11416269.0
44,34704528.666666664
45,61563099.0
46,45362598.0
47,104681090.0
48,61784530.0
49,85061033.5
50,33278073.333333332
51,39740472.666666664
52,53300243.0
53,15808715.0
54,27633116.0
55,104681090.0
56,34186855.0
57,32545476.0
58,53300243.0
59,106608279.0
60,15486511.5
61,25842288.5
62,35657764.333333336
63,20957354.5
64,42364024.0
65,219.0
66,106608279.0
67,11752721.0
68,58433542.0
69,106608279.0
70,42099833.0
71,21820497.0
72,23659368.0
73,34778147.0
74,39670700.0
75,66260015.0
76,24696662.0
77,39206969.0
78,33026625.5
79,24832321.0
80,21991652.0
81,22725609.5
82,8877374.0
83,106608279.0
84,54999955.0
85,45898309.5
86,32564842.0
87,56100628.0
88,10771067.0
89,149917.0
90,20581644.0
91,15154113.0
92,53113133.5
93,106608279.0
94,37734115.0
95,37337289.0
96,57511894.0
97,65682546.0
98,57511894.0
99,30422141.0
100,106608279.0
101,41040243.666666664
102,58433542.0
103,62740669.0
104,23173906.0
105,29614843.0
106,43843890.0
107,19779859.0
108,57289368.0
109,53769202.0
110,27728931.5
111,6935746.0
112,24627608.5
113,106608279.0
114,20134953.0
115,47628061.0
116,13142576.0
117,11372552.5
118,19252196.333333332
119,106608279.0
120,38516138.0
121,48528798.5
122,25902460.0
123,31875414.0
124,49255217.0
125,44158929.0
126,20462647.666666668
127,55713835.0
128,58266627.5
129,42099833.0
130,10779734.0
131,23173906.0
132,57511894.0
133,52127284.0
134,47776446.0
135,29348703.0
136,46253961.333333336
137,14124025.8
138,74886858.0
139,24696662.0
