"listeners_cum_sqrt","artist_count","released_weekday","years_since_release_boxcox","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
5846.75444156842,"2","Freitag",-4.20755340376944,"July",6.31535800152233,147,6.96861297165568,14.4030664701477,4.63259159663224,10,6.71659477352098,11.1803398874989,"B","Major",476.361168533288,89,83,7.37380818787574,31,2.07944154167984,1.13415348204518,18.7669739041855
6688.53078037322,"1","Donnerstag",-4.20755340376944,"March",7.29573507274928,48,7.31425168498385,10.8896240521091,5.0086904106665,14,5.94542060860658,9.59166304662544,"C#","Major",398.171089263681,61,74,2.94476606120695,7,2.30258509299405,1.13415348204518,18.7112308446764
7594.71948132385,"1","Freitag",-4.20755340376944,"June",7.24208235925696,113,9.69284745424764,13.1737311916677,5.70016220211393,14,6.85540879860993,11.7473401244707,"F","Major",242.14189990379,32,53,5.26460875399433,17,3.43398720448515,1.38603106310711,18.757181365885
10325.1285222025,"1","Freitag",1.59753955386447,"August",8.96928740011841,100,10.5411283552111,13.1737311916677,6.20656596692762,12,6.30627528694802,13.0384048104053,"A","Major",271.260611193508,58,72,4.02374658819718,11,2.39789527279837,1.85404998856108,20.5011727549461
9128.81509288035,"1","Donnerstag",-4.20755340376944,"May",8.04974629095219,50,9.26063309000393,11.1222039303216,5.62974617752123,15,6.05208916892442,12,"A","Minor",348.697835759604,23,80,4.68441189007034,14,2.39789527279837,1.38603106310711,19.5300230000721
5384.52444511119,"2","Donnerstag",-4.20755340376944,"June",7.68982866873648,91,8.43462673607566,13.3158381435265,5.64761915030063,17,6.85224256905188,11.8743420870379,"C#","Major",587.622000193027,66,58,5.61785797783917,19,2.07944154167984,2.04859295821858,19.0288484853744
6045.86036061039,"2","Donnerstag",-4.20755340376944,"March",8.03592636989179,50,6.26779822042479,13.5238355424464,4.56621934766155,13,6.03548143252476,12.1655250605964,"F","Minor",364.945757143636,83,76,9.26079022524674,48,2.07944154167984,0.935923022250452,20.4030331784745
6087.40034826033,"1","Freitag",-4.20755340376944,"July",6.57088296233958,43,5.42175934801256,9.48099204425403,4.05115826483646,13,5.26785815906333,10,"F","Major",364.945757143636,26,71,8.09792149943452,37,2.39789527279837,1.13415348204518,17.8785257403971
5926.08918258914,"1","Montag",-4.20755340376944,"May",6.99942246750796,83,8.05143297459921,13.2451399483307,4.72733357534689,11,6.8596149036542,11.4017542509914,"C#","Minor",521.774185913264,22,62,4.25480019260307,12,3.3322045101752,1.60906047342738,18.3716723634755
5754.32528625207,"2","Freitag",-4.20755340376944,"March",7.99057688174392,44,7.38031949905346,10.3218190455462,5.20387861280808,13,5.82600010738045,13.0384048104053,"D","Minor",485.333333333333,56,48,5.94943611308857,21,2.07944154167984,2.16565139309123,20.1320144975854
7663.91707940528,"2","Montag",-4.20755340376944,"April",7.96415571884094,40,6.82246111633194,13.1257219361724,4.90182215342446,12,5.52545293913178,9.1104335791443,"F#","Minor",286.227041873622,56,72,6.26256279129322,23,3.29583686600433,1.2765537909333,20.0413976843286
4813.9283334923,"1","Freitag",-4.20755340376944,"July",6.04500531403601,55,6.51446763308446,13.053089460853,3.55882106693847,5,5.12396397940326,12.2474487139159,"F","Minor",458.584898382381,52,82,5.44417880786609,18,2.70805020110221,1.47403391565585,17.8803430585191
7846.21558459873,"1","Donnerstag",-4.20755340376944,"January",9.41009246383302,115,15.117463285423,13.3625839046217,9.37383636455101,58,6.92853781816467,10.8627804912002,"Keine Angabe","Major",398.171089263681,65,68,2.61918127769805,6,1.09861228866811,1.47403391565585,20.9985126986566
5039.11837527161,"1","Freitag",-4.20755340376944,"April",8.16848641712668,98,9.07763711090713,11.83074868664,6.82701720574108,24,7.15539630189673,11.4017542509914,"D","Minor",242.14189990379,32,43,12.1410170242931,83,2.19722457733622,0.935923022250452,19.7754089500956
7464.17008112757,"1","Donnerstag",0,"March",10.0679421075017,130,16.8257258155103,12.9550620327959,9.66079521163902,46,0.693147180559945,13.1909059582729,"F#","Minor",249.318221765503,66,73,7.74546267495199,34,3.43398720448515,1.38603106310711,21.6448180998577
8104.47691094249,"1","Donnerstag",0,"December",9.00072983494456,77,12.5746113519889,12.0034135350522,6.62197357705247,12,5.23110861685459,9.4339811320566,"G#","Major",340.666666666667,43,73,2.2591348467897,5,2.77258872223978,1.13415348204518,20.8743492351857
4153.54282510726,"1","Freitag",-4.20755340376944,"February",7.98684490116138,77,9.56670981612124,13.2923499712945,5.45999895650769,6,-9.21034037197618,10.9544511501033,"B","Minor",458.584898382381,76,59,8.7545307189726,43,3.52636052461616,0.935923022250452,20.023689404971
8219.98302917956,"1","Donnerstag",-4.20755340376944,"July",6.7719355558396,104,9.07763711090713,13.6368487612457,5.76784566835971,24,7.06731984865348,8.83176086632785,"Keine Angabe","Major",193.908654367517,14,9,13.0184557391536,96,2.30258509299405,0.935923022250452,17.2347732089166
6199.74624480712,"2","Freitag",-4.20755340376944,"March",7.86710550031674,40,6.96861297165568,9.93690568511657,4.90182215342446,14,5.23110861685459,10,"B","Major",531.020793741754,67,66,4.68441189007034,14,2.484906649788,1.88241572783979,19.6303042549214
2740.79094423489,"1","Freitag",-4.20755340376944,"March",6.39024066706535,68,2.88688661024538,10.0939683610206,3.68273083326153,2,3.36729582998647,10.9544511501033,"G","Major",332.697998527472,36,73,-2.43720283921226,1e-04,3.58351893845611,1.13415348204518,19.7109314358303
5755.41463898707,"3","Donnerstag",-4.20755340376944,"June",5.80513496891649,26,3.51045471219615,12.031753770876,2.58925411794167,4,-9.21034037197618,11.8321595661992,"F","Minor",348.697835759604,87,74,6.10813523100386,22,3.73766961828337,1.13415348204518,18.2750171037676
10325.1285222025,"1","Freitag",-4.20755340376944,"July",6.24610676548156,38,8.74134592429329,10.6478146878443,4.53198460282268,1,5.01063529409626,11.0905365064094,"F#","Major",381.438031027565,82,76,2.61918127769805,6,1.79175946922805,0.935923022250452,17.7693518230757
6912.05078106346,"1","Dienstag",2.92446596230557,"January",9.46179923427044,110,5.31519311320155,9.85672049777661,8.90132712335201,2,4.29045944114839,11.6189500386223,"Keine Angabe","Minor",221.03583670215,44,42,4.25480019260307,12,2.39789527279837,0.935923022250452,20.9833399625852
6765.35934004987,"2","Mittwoch",-4.20755340376944,"May",7.1800698743028,40,4.46520877893817,11.7130395930454,4.14213562373095,11,4.93447393313069,11.5325625946708,"F","Minor",521.774185913264,81,67,6.70299842836727,26,2.484906649788,1.2765537909333,19.1170588045937
7681.64706730703,"3","Freitag",-4.20755340376944,"June",7.57301725605255,87,8.7907318102046,12.548482722026,5.62974617752123,14,6.99668148817654,9.9498743710662,"C#","Major",521.774185913264,83,68,2.94476606120695,7,3.58351893845611,1.97636489487699,18.5636077678206
5353.85683409633,"1","Donnerstag",-4.20755340376944,"June",5.52146091786225,26,4.32465569998023,11.6233268240407,2.58925411794167,5,5.12396397940326,11.4017542509914,"G","Minor",467.444905978621,96,86,3.52056171320173,9,2.19722457733622,1.60906047342738,18.1760665134166
5019.47327913995,"2","Freitag",0,"March",8.86953877719374,77,13.053089460853,10.6478146878443,7.79273505970737,38,4.56434819146784,10.3440804327886,"B","Major",476.361168533288,82,80,8.7545307189726,43,2.63905732961526,1.13415348204518,20.6169975582853
7439.52071708924,"2","Donnerstag",-4.20755340376944,"June",6.75576892198425,40,6.35165626414742,10.2844586115519,4.49700823713564,14,5.35185813347607,11.0453610171873,"F#","Minor",485.333333333333,74,71,4.68441189007034,14,4.02535169073515,1.13415348204518,17.9303974901453
