"listeners_cum","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm_log","key","mode","danceability_.","valence_.","energy_._boxcox","acousticness_.","liveness_.","speechiness_.","streams"
10385824.6666667,3,"Freitag","July",5.605802066296,4,7,21,2,1e-04,1e-04,4.55387689160054,"F","Minor",84,49,406.626839296785,8,15,8,19.6069926008078
7283323.16666667,7,"Freitag","January",6.94119005506837,1,19,5,12,1e-04,1e-04,5.15905529921453,"F","Minor",67,74,432.346035225553,44,7,30,19.3184007707625
9794732,1,"Donnerstag","March",5.29831736654804,2,12,4,1e-04,1e-04,1e-04,4.27666611901606,"F#","Major",64,76,193.908654367517,70,12,4,19.1271264458948
11400306,2,"Samstag","January",10.6642466515061,1e-04,217,136,6508,1,2,4.85981240436167,"Keine Angabe","Major",86,75,249.318221765503,54,10,4,21.0997409642568
50179219,1,"Freitag","May",7.30854279753919,1e-04,2,1e-04,10,1e-04,1e-04,5.13579843705026,"C#","Minor",37,14,77.717005102395,80,11,4,17.5646750703671
50179219,1,"Freitag","May",7.34277918933185,1e-04,1,1e-04,4,1e-04,1e-04,4.35670882668959,"G","Major",43,60,155.498488075214,76,48,38,17.4472424570028
50179219,1,"Freitag","May",7.08506429395255,1e-04,1e-04,1e-04,3,1e-04,1e-04,4.77068462446567,"F","Minor",66,83,187.313237696657,84,19,19,17.4289004398006
4022431.5,2,"Sonntag","February",5.85507192220243,6,10,22,3,1e-04,1e-04,4.52178857704904,"B","Minor",71,67,309.172001029927,7,6,4,19.4653640995657
25142341.5,2,"Freitag","May",7.54433210805369,1e-04,3,1e-04,2,1e-04,1e-04,4.9416424226093,"G#","Minor",49,50,149.374809080689,87,11,35,17.3235110342667
1491246,1,"Dienstag","February",7.19218205871325,1e-04,42,51,32,1e-04,1e-04,4.38202663467388,"B","Major",47,33,503.443991379318,18,10,5,17.8170560083437
50179219,1,"Sonntag","May",7.98582466641892,1e-04,29,1e-04,30,1e-04,1e-04,4.58496747867057,"G#","Minor",76,79,485.333333333333,18,6,34,18.0841350406325
18303152,1,"Donnerstag","May",8.41759382619348,12,156,275,150,3,128,4.47733681447821,"D#","Minor",80,55,278.710418212454,13,8,9,19.4972741293981
14133169,1,"Samstag","March",7.50549227473742,1e-04,3,1e-04,63,1e-04,353,5.13579843705026,"Keine Angabe","Major",56,52,340.666666666667,11,45,7,20.382698459671
