"listeners_cum_sqrt","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
8219.98302917956,"1","Donnerstag","July",6.7719355558396,104,9.07763711090713,13.6368487612457,5.76784566835971,24,7.06731984865348,8.83176086632785,"Keine Angabe","Major",193.908654367517,14,9,13.0184557391536,96,2.30258509299405,0.935923022250452,17.2347732089166
5669.65951358633,"1","Donnerstag","July",6.76157276880406,78,8.64113527754986,11.1870765497029,4.78757636628314,1,5.68357976733868,11.2249721603218,"F","Minor",423.714713174103,35,84,-2.43720283921226,1e-04,2.39789527279837,1.38603106310711,16.9326265325473
4103.48741925694,"8","Donnerstag","June",7.0475172213573,31,5.09235808503701,6.18219544910834,4.22813219821873,7,5.21493575760899,10.9544511501033,"Keine Angabe","Major",485.333333333333,63,68,4.02374658819718,11,2.39789527279837,1.13415348204518,18.6286896460683
10231.3777175901,"1","Donnerstag","November",7.81722278550817,59,8.48704614086558,4.97558582846753,3.74108810316637,1e-04,5.55682806169954,11.5758369027902,"C#","Minor",301.458399416165,51,52,3.52056171320173,9,2.70805020110221,1.47403391565585,21.2228224437808
3976.01747984085,"1","Donnerstag","June",7.722677516468,59,-3.1230142185066,-3.1230142185066,5.98610458096402,17,-9.21034037197618,11.4017542509914,"G","Minor",364.945757143636,96,88,4.25480019260307,12,2.07944154167984,1.13415348204518,17.8738209512706
7300.70154163283,"1","Freitag","July",6.26339826259162,41,6.26779822042479,10.5051373293819,4.42468907554629,6,5.37527840768417,11.3137084989848,"Keine Angabe","Minor",531.020793741754,42,72,10.2726441667497,59,2.19722457733622,1.95532239474723,16.5888069047787
5083.53110544236,"2","Freitag","February",8.55333223803211,41,11.7721616688203,9.26063309000393,5.88034806964988,14,3.61091791264422,11.5325625946708,"F","Major",389.774679049235,86,81,6.55974579597119,25,3.2188758248682,1.2765537909333,18.8675348793873
5971.41225618642,"3","Freitag","June",8.04141290939305,39,6.59357071906457,-3.1230142185066,1.48698354997035,1e-04,-9.21034037197618,10.0498756211209,"D","Major",549.675449152616,72,59,10.5285680133562,62,2.19722457733622,0.935923022250452,20.3953646992871
7644.18354044433,"1","Freitag","July",6.01615715969835,36,6.4338535052784,6.0947570824873,4.09730738355541,1,3.25809653802148,11.8321595661992,"C#","Major",278.710418212454,48,73,-2.43720283921226,1e-04,3.55534806148941,1.13415348204518,16.5088142281453
7416.19545319566,"2","Freitag","July",9.74390548271166,36,18.0693524762546,9.8969548356029,9.50744041892379,31,-9.21034037197618,13.0384048104053,"C#","Major",301.458399416165,48,76,1.85275281648062,4,2.30258509299405,1.2765537909333,21.7035989376449
