"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
28619719,1,"Donnerstag",6,"June",14749,1e-04,188,34,710,1e-04,5,84,"B","Minor",44,22,48,33,24,2288695111
28753448,1,"Dienstag",32,"September",49991,9,265,121,12367,4,160,117,"C#","Major",52,73,91,11,7,1690192927
21906188,1,"Dienstag",20,"September",51979,15,306,99,5063,2,120,148,"C#","Major",35,24,93,10,8,1806617704
32423945.5,2,"Sonntag",21,"May",22923,1e-04,78,46,2515,1,1e-04,171,"C#","Major",55,10,85,8,20,1695712020
28630629,1,"Sonntag",11,"January",29499,11,124,27,587,1e-04,4,123,"A#","Minor",91,49,61,17,22,822239726
40.5,2,"Donnerstag",3,"January",6955,1e-04,65,45,398,1e-04,1,166,"A#","Minor",81,83,75,29,34,1180896317
41455752.5,2,"Mittwoch",4,"June",15010,2,453,50,1785,1,8,117,"A","Minor",76,77,52,8,3,2484812918
35946623,1,"Freitag",5,"March",3659,1e-04,11,10,267,1e-04,7,146,"A","Minor",59,23,46,15,6,1200808494
34956247,1,"Dienstag",10,"January",50887,34,315,160,6284,1,46,124,"D","Major",53,66,78,16,5,1970673297
39496723,2,"Dienstag",7,"May",28032,1e-04,315,159,2179,1e-04,44,95,"G#","Major",75,64,52,11,3,2591224264
11400306,2,"Samstag",12,"January",42798,1e-04,217,136,6508,1,2,129,"Keine Angabe","Major",86,75,52,10,4,1457139296
20634012.3333333,3,"Dienstag",10,"January",52898,1e-04,203,1,8215,1e-04,1e-04,116,"F#","Minor",79,87,81,10,4,933815613
74886858,1,"Freitag",9,"June",18778,3,228,105,2453,1e-04,84,108,"E","Major",61,20,38,10,5,2236667932
47047855,1,"Dienstag",1,"June",9724,1e-04,222,61,259,14,2,115,"C#","Minor",70,87,88,26,8,354614964
18303152,1,"Donnerstag",1,"May",4526,12,156,275,150,3,128,88,"D#","Minor",80,55,56,8,9,293466523
14133169,1,"Samstag",1,"March",1818,1e-04,3,1e-04,63,1e-04,353,170,"Keine Angabe","Major",56,52,64,45,7,711366595
